,Word,Frequency
1176,treat,225
1177,ways,225
1178,madeline,225
1179,looked,223
1180,antimatter,223
1181,mitchell,223
1182,slow,222
1183,pull,222
1184,tells,222
1185,initiate,222
1186,natural,222
1187,fair,222
1188,everybody,222
1189,personnel,221
1190,count,221
1191,similar,221
1192,forced,221
1193,hardly,221
1194,action,221
1195,koloth,221
1196,ability,220
1197,air,220
1198,avoid,220
1199,guinan,220
1200,surprise,219
1201,scanners,219
1202,cold,219
1203,hadnt,219
1204,proud,219
1205,considered,219
1206,killing,219
1207,lady,219
1208,structure,218
1209,guy,218
1210,harm,218
1211,short,218
1212,failure,218
1213,riley,218
1214,centre,217
1215,service,217
1216,fix,217
1217,latinum,217
1218,detecting,216
1219,low,216
1220,relax,216
1221,talaxian,216
1222,zimmerman,216
1223,starboard,215
1224,degrees,215
1225,equipment,215
1226,programmed,215
1227,boss,215
1228,jennifer,215
1229,responding,215
1230,recognise,215
1231,fault,215
1232,ninety,214
1233,assistance,214
1234,bed,214
1235,husband,214
1236,colonel,214
1237,quiet,213
1238,containment,213
1239,unit,213
1240,bok,213
1241,aide,213
1242,damar,213
1243,pressure,212
1244,interest,212
1245,technician,212
1246,portal,212
1247,treatment,212
1248,planning,211
1249,doctors,211
1250,patterns,211
1251,repairs,211
1252,entered,211
1253,winn,211
1254,martok,211
1255,dismissed,210
1256,comfortable,210
1257,travel,210
1258,behaviour,210
1259,early,210
1260,robinson,210
1261,opinion,209
1262,saved,209
1263,ocampa,209
1264,cure,209
1265,wyatt,209
1266,chang,209
1267,pulaski,209
1268,gotten,208
1269,price,208
1270,anybody,208
1271,base,208
1272,playing,208
1273,works,208
1274,ancient,208
1275,distance,208
1276,upon,208
1277,kgb,208
1278,kell,208
1279,function,207
1280,maam,207
1281,explosion,207
1282,native,207
1283,patrol,207
1284,eighty,206
1285,closing,206
1286,managed,206
1287,communication,206
1288,fall,206
1289,ben,206
1290,identify,206
1291,based,206
1292,centuries,206
1293,group,206
1294,remove,206
1295,arm,206
1296,began,206
1297,wake,206
1298,lutan,206
1299,rcs,206
1300,detect,205
1301,cochrane,205
1302,apologise,205
1303,armed,205
1304,rand,205
1305,hmm,204
1306,helped,204
1307,temple,204
1308,date,204
1309,deanna,204
1310,allowed,204
1311,traveller,204
1312,tosk,204
1313,waste,203
1314,keeping,203
1315,likely,203
1316,win,203
1317,front,203
1318,collective,203
1319,karnas,203
1320,herbert,203
1321,apart,202
1322,rescue,202
1323,runabout,202
1324,available,202
1325,instead,202
1326,fail,201
1327,built,201
1328,tricorder,201
1329,intercept,201
1330,ethan,201
1331,mess,201
1332,brooks,201
1333,storm,200
1334,tothe,200
1335,answers,200
1336,conduit,200
1337,completed,200
1338,blame,200
1339,result,200
1340,beta,200
1341,keel,200
1342,lal,200
1343,thinks,199
1344,teach,199
1345,tahna,199
1346,hearing,199
1347,drone,199
1348,thatll,198
1349,favour,198
1350,fool,198
1351,responsibility,198
1352,rendezvous,198
1353,goss,198
1354,constable,197
1355,somethings,197
1356,bar,197
1357,determine,197
1358,guardian,197
1359,nobody,196
1360,definitely,196
1361,remind,196
1362,reactor,196
1363,opaka,196
1364,uniform,196
1365,build,196
1366,file,196
1367,path,196
1368,danar,196
1369,company,196
1370,murder,196
1371,belong,196
1372,ran,195
1373,reverse,195
1374,disease,195
1375,scanning,195
1376,dealt,195
1377,professor,195
1378,sending,194
1379,missed,194
1380,reaction,194
1381,chancellor,194
1382,angry,194
1383,katie,194
1384,internal,194
1385,waitress,194
1386,straight,193
1387,realised,193
1388,hide,193
1389,minds,193
1390,fully,193
1391,training,193
1392,mention,193
1393,crewmembers,193
1394,anne,193
1395,marla,193
1396,joseph,193
1397,sick,192
1398,table,192
1399,vantika,192
1400,wildman,192
1401,central,191
1402,culture,191
1403,decide,191
1404,tests,191
1405,recommend,191
1406,holographic,191
1407,minor,191
1408,married,191
1409,webb,191
1410,esp,191
1411,eddington,191
1412,military,190
1413,born,190
1414,advice,190
1415,located,190
1416,beamed,190
1417,sitting,190
1418,homn,190
1419,challenge,189
1420,carey,189
1421,ibudan,189
1422,culluh,189
1423,ramsey,189
1424,jonathan,188
1425,prevent,188
1426,became,188
1427,lord,188
1428,cloud,188
1429,hall,188
1430,shakaar,188
1431,powerful,187
1432,defence,187
1433,supply,187
1434,noticed,187
